name,inn,city,create_date,reg_date,last_tender_date,contract_value,staff,ban,bidding_num,wins_num,not_executed_contracts,terminated_contracts
ООО Дюймовочка,123456789035,Свиногорье,2021-08-14,2021-11-24,2022-10-11,7521925,737,False,86,16,0,0
НКО Багира,123456789036,Свиногорье,2017-12-29,2018-07-19,2020-08-28,8831296,1847,False,75,20,0,0
ООО Рыжик,123456789037,Новая Ляля,2014-01-16,2016-12-06,2019-03-15,550252,1025,False,66,49,0,0
ЗАО Полосатый Слон,123456789038,Нижние Серги,2011-05-26,2013-09-21,2021-07-31,3419356,159,False,25,8,0,0
НКО Эффект Шоу,123456789039,Мамыри,2014-09-21,2016-12-11,2020-11-04,2873980,1569,True,9,1,0,0
ОАО Лунный свет,123456789040,Козельск,2008-02-23,2009-04-14,2010-07-11,5556531,201,False,89,51,0,5
ООО Ай-Забава,123456789041,Мымрино,2009-07-13,2010-07-08,2016-10-07,3422223,570,False,37,10,0,0
НКО Мираж,123456789042,Барнаул,2010-04-21,2017-08-02,2019-03-19,1314229,269,False,89,70,2,0
ЗАО Романтик,123456789043,Урюпинск,2011-02-07,2014-03-13,2022-02-24,9632858,176,False,98,2,0,0
ОАО Розовый фламинго,123456789044,Пыталово,2001-01-21,2005-10-15,2016-09-17,202037,1889,False,7,4,0,0
ОАО Уроки доброты,123456789045,Барнаул,2015-10-22,2018-05-02,2020-09-04,5624048,16,False,7,6,0,1
НКО Август,123456789046,Барнаул,2001-10-26,2013-04-26,2018-05-13,1355870,1439,False,102,84,0,0
КФХ Володькины забавы,123456789047,Мамыри,2009-12-02,2022-09-05,2022-12-16,7718775,659,False,30,13,2,0
КФХ Сказка,123456789048,Барнаул,2003-07-15,2007-10-05,2013-06-24,4458636,637,False,1,0,0,0
ОАО Кудесники,123456789049,Мымрино,2016-12-31,2018-08-26,2022-10-26,3213867,201,False,1,0,0,0
ЗАО Фунтик,123456789050,Козельск,2008-07-14,2013-06-30,2015-02-07,5396172,915,False,96,73,0,0
ЗАО Двенадцать месяцев,123456789051,Мымрино,2019-12-12,2020-05-09,2023-01-28,5294457,1735,False,107,6,0,0
ОАО Мир чудес,123456789052,Свиногорье,2014-06-27,2022-02-13,2023-02-08,7422228,247,False,79,66,0,0
ЗАО Здоровячок,123456789053,Урюпинск,2007-04-04,2022-08-03,2022-09-02,1405597,468,False,64,12,0,5
ООО Феерия фокусов,123456789054,Колпино,2013-11-15,2017-07-15,2020-06-07,1788439,851,False,21,18,0,0
КФХ Вредина-привередина,123456789055,Свиногорье,2021-09-02,2021-09-05,2021-12-08,8407153,493,False,45,10,1,0
НКО Купидон,123456789056,Мамыри,1999-06-03,2009-08-03,2016-01-10,9529061,1293,False,37,26,0,0
НКО Лимонад,123456789057,Нижние Серги,1999-03-24,2022-05-12,2023-03-21,1327048,21,False,57,51,5,0
КФХ Дельфин,123456789058,Барнаул,2017-06-25,2021-09-26,2021-12-31,3826805,833,False,62,34,0,0
КФХ Мечтатели,123456789059,Козельск,2013-12-14,2014-07-28,2017-12-08,9980804,1033,False,1,0,0,0
ЗАО Старый парк,123456789060,Урюпинск,2002-11-14,2017-03-31,2019-08-13,6108667,477,False,57,29,0,0
ОАО Граф Орлов,123456789061,Новая Ляля,2000-08-13,2008-08-19,2015-03-30,6472933,1075,False,62,44,0,0
КФХ В точку,123456789062,Пыталово,2007-06-30,2019-07-08,2021-01-28,4043189,828,False,81,73,0,0
ООО Лучик,123456789063,Барнаул,2022-11-01,2023-03-12,2023-03-20,7233768,37,False,97,92,0,0
ЗАО Счастливые детки,123456789064,Барнаул,1998-06-25,2012-03-24,2017-04-21,1963629,93,True,37,3,0,0
ОАО Серебряный дождь,123456789065,Колпино,2019-04-29,2020-10-07,2021-05-06,9667168,983,False,75,68,0,0
ОАО Веселые олени,123456789066,Свиногорье,2017-03-10,2018-07-03,2022-03-31,6555339,365,False,87,9,0,0
НКО Сафари,123456789067,Козельск,2018-05-21,2022-01-18,2022-03-08,3963027,1913,False,107,100,0,0
КФХ Морозко,123456789068,Мамыри,2016-10-30,2022-03-14,2023-01-04,4725555,1951,False,76,44,0,0
НКО Радуга детства,123456789069,Мамыри,2011-06-27,2019-04-05,2023-02-27,8301238,1649,False,44,42,0,0
КФХ Во власти веселья,123456789070,Свиногорье,2003-07-23,2023-02-09,2023-02-11,9785979,651,False,24,16,0,0
ООО Краски,123456789071,Свиногорье,2019-07-02,2021-01-28,2021-10-14,7947158,1214,False,13,4,0,0
КФХ Королева праздника,123456789072,Мымрино,2003-02-01,2006-05-09,2016-06-29,5591769,659,False,97,57,0,0
НКО Седьмой день,123456789073,Барнаул,2009-10-29,2016-10-29,2018-01-04,2325366,1184,False,40,17,0,0
КФХ Одуванчик,123456789074,Колпино,2015-12-30,2018-10-25,2020-05-01,6014581,657,False,101,97,0,0
КФХ Фантазеры,123456789075,Свиногорье,2004-06-27,2010-12-14,2011-11-10,2303561,1413,False,97,51,2,0
ЗАО Счастливы вместе,123456789076,Козельск,2016-02-26,2017-07-26,2020-05-21,6662011,1187,False,76,37,0,0
ОАО Полянка,123456789077,Урюпинск,2002-10-17,2004-02-05,2012-07-28,5771294,1904,False,25,6,0,0
КФХ Классик,123456789078,Пыталово,2019-08-05,2023-03-25,2023-03-29,2350204,1388,False,33,16,0,0
ЗАО Киндер,123456789079,Новая Ляля,2013-06-05,2014-06-19,2017-06-19,5202340,1082,True,3,1,0,0
ОАО Интрига,123456789080,Барнаул,2001-11-08,2004-12-17,2011-05-29,2518021,931,False,107,42,0,0
КФХ Русский сабантуй,123456789081,Барнаул,2001-02-21,2009-07-23,2014-07-20,306765,133,False,87,11,0,0
НКО Полярный слон,123456789082,Урюпинск,1997-08-02,1998-02-22,2005-06-25,4064040,1289,False,89,77,0,0
ОАО Лилу,123456789083,Свиногорье,1997-10-07,2013-02-18,2022-08-03,7566312,1274,False,100,3,0,0
ЗАО Садко,123456789084,Мамыри,2002-09-28,2017-01-07,2023-02-28,8558647,155,False,103,6,0,0
НКО Весело!,123456789085,Козельск,2012-12-31,2017-01-20,2020-05-26,8824115,813,False,41,6,0,0
ООО Шоу-Арт,123456789086,Козельск,2006-05-18,2019-11-06,2020-07-14,5806828,1876,False,91,61,2,2
НКО Радуга,123456789087,Барнаул,2022-01-03,2022-05-22,2023-03-07,7059987,860,False,28,4,0,0
ЗАО Тактика,123456789088,Урюпинск,2022-04-19,2022-12-15,2022-12-22,5046820,49,False,92,36,0,0
ООО Белый квадрат,123456789089,Мытищи,2023-03-13,2023-03-20,2023-03-28,80128,1796,False,61,19,2,0
ОАО Шар,123456789090,Козельск,2018-09-15,2020-09-07,2020-10-11,2036109,611,False,96,25,0,0
НКО Абракадабра,123456789091,Колпино,1997-12-28,2008-07-22,2010-07-28,3388048,1715,False,70,52,0,0
НКО Драйв,123456789092,Пыталово,2022-04-23,2022-12-23,2023-01-28,9487016,1430,False,76,32,0,0
КФХ Арт-Триумф,123456789093,Урюпинск,2016-06-20,2020-04-05,2021-12-15,1671664,726,False,96,59,0,0
ОАО Арлекино,123456789094,Нижние Серги,2014-10-11,2016-02-08,2020-06-20,777725,603,False,26,20,0,0
ООО Бумеранг,123456789095,Нижние Серги,2000-02-29,2019-12-08,2021-10-03,1229550,372,False,29,13,0,0
КФХ Волшебный сундучок,123456789096,Мытищи,2013-10-14,2015-08-19,2017-03-20,1401921,934,False,7,3,0,0
НКО Крылья,123456789097,Козельск,2022-07-16,2023-03-19,2023-03-30,3518941,1424,False,69,21,0,0
ЗАО Веснянка,123456789098,Мымрино,2020-03-03,2022-03-26,2023-03-02,5379411,302,False,10,0,0,0
ОАО Пафос,123456789099,Барнаул,2009-12-07,2016-08-30,2017-10-14,7069047,69,False,74,56,1,1
ОАО Ладошки,123456789100,Урюпинск,2023-02-19,2023-03-06,2023-03-23,4788995,553,False,54,44,0,5
ЗАО Счастливчик,123456789101,Свиногорье,2011-12-12,2021-09-12,2022-03-09,6882065,1994,False,84,33,0,0
ООО Малиновый щербет,123456789102,Свиногорье,2008-03-17,2020-08-29,2023-02-05,6710273,107,True,110,13,1,0
ООО Дольче Вита,123456789103,Нижние Серги,2003-09-27,2008-05-24,2018-05-02,3061640,1008,False,105,56,0,0
ЗАО Идеальный праздник,123456789104,Урюпинск,2009-04-09,2021-08-02,2021-08-02,4171845,272,False,78,15,0,0
ОАО Йогурт,123456789105,Свиногорье,2014-08-22,2019-10-14,2022-02-08,4007054,155,False,81,22,0,0
ЗАО Радуга чудес,123456789106,Барнаул,2005-01-08,2014-02-21,2017-01-07,7442301,1677,False,62,14,0,0
КФХ Атмосфера,123456789107,Новая Ляля,2021-07-30,2023-03-10,2023-03-17,5420917,1055,False,21,9,0,0
ООО Мечта,123456789108,Козельск,2019-05-15,2020-02-28,2023-03-25,3455049,639,False,24,4,0,0
ООО Азбука веселья,123456789109,Мымрино,2016-05-13,2018-06-04,2018-06-28,1519794,1937,False,109,28,5,0
ЗАО Незабудка,123456789110,Новая Ляля,2012-12-10,2021-11-04,2023-02-18,2681870,1879,False,23,4,0,0
КФХ Королевство чудес,123456789111,Мамыри,2020-08-02,2020-12-29,2022-09-26,2614709,1457,False,28,8,0,0
НКО Праздник & праздник,123456789112,Новая Ляля,2003-08-14,2017-09-03,2021-05-01,3300683,1121,False,103,29,0,0
ЗАО Империя Шоу,123456789113,Урюпинск,2017-12-06,2023-02-04,2023-03-12,4292072,1439,True,72,11,0,0
НКО Фестиваль,123456789114,Мымрино,2005-02-19,2008-03-10,2016-09-07,3017517,1748,False,67,26,0,0
ЗАО Чудо,123456789115,Урюпинск,2017-10-03,2022-03-11,2022-07-01,1819624,1430,False,28,23,5,0
НКО Жар-птица,123456789116,Барнаул,2002-08-27,2013-05-12,2014-02-08,4159658,1444,False,78,64,0,0
ОАО Гильдия мастеров,123456789117,Урюпинск,2022-06-27,2022-11-30,2022-12-03,9617755,762,False,81,20,2,0
ЗАО Рыжик и Ко,123456789118,Мамыри,2002-06-30,2018-12-08,2022-05-29,5251575,1580,False,94,27,5,5
ОАО Брутальный воробей,123456789119,Мымрино,2015-08-14,2018-11-06,2022-03-18,8121616,423,False,54,42,0,0
ООО Арт-кума,123456789120,Барнаул,2000-11-22,2019-03-24,2021-06-12,5461254,1446,False,41,4,0,0
ООО Зефир,123456789121,Колпино,2006-01-08,2011-03-28,2021-03-21,6479306,266,False,34,2,2,0
ЗАО Лира,123456789122,Урюпинск,2008-11-11,2013-02-25,2017-09-09,4278681,1942,False,102,92,0,2
ООО Детство,123456789123,Мытищи,2005-05-15,2014-12-31,2016-11-25,2289207,239,False,108,24,2,0
ООО Бим-Бам,123456789124,Колпино,2008-09-29,2014-08-24,2020-06-19,7435440,297,False,104,2,0,0
ЗАО Мир позитива,123456789125,Колпино,2014-05-11,2014-05-29,2021-03-16,4908036,1104,False,32,13,0,0
ЗАО Алмаз,123456789126,Мымрино,2001-10-01,2013-11-10,2016-06-28,6742715,710,False,55,44,0,0
КФХ Красная панда,123456789127,Козельск,2021-03-30,2022-02-12,2022-06-19,6151890,1126,False,4,2,0,0
ЗАО Братец Лис,123456789128,Пыталово,2015-09-24,2021-06-10,2022-08-20,3432479,354,False,14,6,0,0
ЗАО Орленок,123456789129,Мымрино,2020-06-08,2022-12-05,2023-02-03,188447,627,False,87,58,0,0
ООО Сами с усами,123456789130,Мымрино,2015-03-23,2022-10-10,2023-02-08,7491353,861,False,36,4,0,0
ОАО Арт-ассамблея,123456789131,Свиногорье,2012-03-18,2014-11-04,2022-07-28,979533,56,False,31,27,0,0
КФХ Лукоморье,123456789132,Урюпинск,2020-08-16,2022-04-20,2022-06-22,7515701,979,False,64,5,5,1
ОАО Креатив плюс,123456789133,Колпино,2005-12-04,2021-11-19,2022-01-06,3917838,1097,False,53,13,0,0
ООО Однажды…,123456789134,Новая Ляля,2009-02-04,2020-04-09,2021-08-05,7151661,1496,False,60,31,0,0
КФХ Пир горой,123456789135,Козельск,2011-06-30,2023-02-05,2023-03-15,2295311,1596,False,82,3,5,0
ОАО Джулия,123456789136,Мымрино,2010-12-29,2014-09-01,2021-08-06,8079372,1022,False,5,0,0,0
ЗАО Позитив,123456789137,Козельск,1998-03-08,2010-07-02,2022-10-09,643828,23,False,78,72,0,0
КФХ На седьмом небе,123456789138,Свиногорье,2021-09-18,2023-01-30,2023-03-08,7868814,492,False,99,38,0,0
ООО Медовый месяц,123456789139,Мытищи,2021-09-20,2023-02-20,2023-03-10,9146134,1918,False,57,25,0,0
ООО Фабрика праздника,123456789140,Новая Ляля,2000-09-19,2022-01-02,2023-03-01,3414101,1324,False,76,28,0,0
КФХ Морячок,123456789141,Мытищи,2002-10-25,2006-10-28,2007-05-07,9824222,607,False,74,40,0,2
ООО Шурик,123456789142,Урюпинск,2023-01-27,2023-03-14,2023-03-18,1614548,532,False,66,14,0,2
ЗАО Чудеса,123456789143,Барнаул,2001-12-20,2022-07-22,2022-09-26,8579930,1107,False,75,36,0,0
НКО Друзья,123456789144,Пыталово,2019-07-03,2020-07-04,2022-06-25,6877007,1382,False,63,41,0,0
КФХ Сатир,123456789145,Козельск,2019-03-29,2022-09-16,2023-02-27,6683965,774,False,1,0,0,0
НКО Незабудка,123456789146,Колпино,2009-10-25,2019-08-14,2021-04-29,1465325,1969,False,12,8,0,0
ОАО Элен и ребята,123456789147,Козельск,2007-01-10,2011-01-25,2015-02-25,2704457,16,False,41,26,0,0
ЗАО Премьера,123456789148,Пыталово,2001-11-13,2007-03-06,2021-09-12,2884466,1909,False,92,50,0,0
НКО Матрешка,123456789149,Свиногорье,2020-04-15,2022-07-29,2022-12-18,9109484,1954,False,41,29,0,0
КФХ Знайка,123456789150,Нижние Серги,2012-04-02,2012-11-12,2015-06-16,518264,1555,False,94,22,0,0
ОАО Ласточка,123456789151,Урюпинск,2009-02-06,2021-10-18,2022-01-20,6144584,1118,False,84,19,0,0
ООО Союз талантов,123456789152,Колпино,2009-01-15,2015-04-26,2019-05-27,8384472,1291,False,74,57,0,0
ЗАО Стрекоза,123456789153,Свиногорье,2014-10-11,2019-03-12,2021-08-16,9664374,500,False,53,11,2,0
НКО Рябинушка,123456789154,Мытищи,2001-11-20,2003-09-28,2016-09-10,9190155,681,False,49,47,0,0
ООО Праздничный переполох,123456789155,Свиногорье,2012-02-16,2016-03-18,2018-02-05,8610690,822,False,99,41,0,1
ОАО Ласковый кот,123456789156,Новая Ляля,2016-12-04,2017-11-03,2022-01-13,7357521,1846,False,44,38,0,0
ОАО МАМАнтенок,123456789157,Мытищи,2012-05-27,2016-12-28,2022-10-05,4963432,1547,False,36,13,0,0
НКО Инфант,123456789158,Пыталово,2012-04-29,2013-01-19,2022-11-16,8595523,1563,False,36,5,0,0
ООО Шикарное событие,123456789159,Козельск,2015-11-05,2016-05-05,2020-04-21,1748441,366,False,15,10,0,0
НКО Ананас,123456789160,Барнаул,2006-08-12,2012-05-18,2018-06-07,9593043,1322,False,39,38,0,0
ООО Цветное настроение,123456789161,Пыталово,2009-05-01,2014-06-19,2018-12-08,5488430,64,False,60,17,0,0
НКО Маруся,123456789162,Барнаул,2019-03-02,2020-08-07,2020-10-10,8597453,524,False,81,70,0,0
ОАО Бэмби,123456789163,Барнаул,1998-03-29,2015-06-16,2019-05-10,9656309,1705,False,42,10,0,0
ООО Ваш день,123456789164,Мытищи,2009-01-12,2020-09-02,2020-09-29,9931118,186,False,90,50,0,0
КФХ Абажур,123456789165,Барнаул,2023-03-29,2023-03-30,2023-03-31,3175526,1290,False,74,1,0,2
ООО Открывашка,123456789166,Мамыри,2004-12-23,2007-03-19,2022-02-17,7219746,838,False,59,49,0,0
ЗАО Эрудит,123456789167,Колпино,2010-06-29,2019-06-03,2020-07-20,8317087,1254,False,43,29,0,0
ООО Самовар,123456789168,Мытищи,2002-05-15,2005-04-28,2018-08-20,1390103,208,False,52,5,0,0
КФХ Праздниковъ,123456789169,Колпино,2010-08-21,2022-11-05,2023-01-28,3856414,1895,False,4,3,0,2
ОАО Красный апельсин,123456789170,Барнаул,1999-11-04,2013-07-07,2016-12-15,1057797,1043,False,22,17,0,2
КФХ Ламбушка,123456789171,Барнаул,2015-05-23,2022-03-08,2022-05-08,1287206,1377,False,67,10,0,0
ЗАО Юниор-парк,123456789172,Свиногорье,2014-08-31,2023-01-14,2023-02-22,8984479,1746,False,25,4,0,5
ОАО Шоколадная радуга,123456789173,Колпино,2003-08-03,2016-08-19,2019-06-05,7063793,194,False,48,20,0,0
ОАО Детство,123456789174,Барнаул,2010-04-25,2015-02-20,2020-03-29,815468,217,False,52,50,0,5
ООО Амурчонок,123456789175,Мымрино,2020-11-01,2022-05-06,2022-08-22,9154265,1595,False,48,37,0,2
НКО Театр праздников,123456789176,Мамыри,1998-06-22,2008-02-18,2009-06-05,2605101,1882,False,3,1,0,0
КФХ Мелисента,123456789177,Колпино,2021-11-24,2021-12-17,2021-12-28,2491706,277,False,101,75,0,0
ООО Ярче,123456789178,Свиногорье,1999-10-09,2016-10-11,2018-02-14,6975523,1425,False,75,40,0,0
НКО Амплуа,123456789179,Мымрино,2002-12-31,2007-10-22,2016-04-21,5903346,1406,False,53,26,0,0
ООО Веселый шарик,123456789180,Колпино,2010-09-25,2020-11-19,2022-10-01,9621933,1145,False,102,27,2,0
ЗАО Бантик,123456789181,Новая Ляля,2020-06-14,2021-10-10,2022-01-16,8408415,266,False,35,13,0,0
КФХ Сюрприз,123456789182,Пыталово,2011-02-18,2023-01-17,2023-03-24,2862528,1774,False,24,0,0,0
ОАО Живите красиво,123456789183,Козельск,1997-04-14,1997-12-07,2007-09-18,9618660,1231,False,58,11,0,0
НКО До-мажор,123456789184,Новая Ляля,2003-07-23,2012-02-06,2021-07-26,6408740,1256,False,10,2,0,0
НКО Веселый попугай,123456789185,Колпино,2019-01-13,2021-07-16,2022-03-24,3847419,1860,False,1,0,0,0
ООО Обручальное кольцо,123456789186,Мамыри,2016-01-26,2017-05-31,2018-09-17,6948381,478,False,62,18,0,0
ОАО Эльф,123456789187,Барнаул,2019-09-30,2022-12-08,2023-02-09,6129641,1401,False,107,38,0,0
ЗАО Карамель,123456789188,Пыталово,2000-12-25,2015-02-05,2016-02-10,527439,218,False,42,9,5,2
ЗАО Умка,123456789189,Козельск,2012-03-17,2019-03-04,2022-06-01,6164510,1150,False,75,2,0,0
ЗАО Сиреневый слон,123456789190,Свиногорье,1999-07-01,2013-03-03,2018-08-27,2214029,1640,False,10,9,0,0
НКО Мир улыбок,123456789191,Новая Ляля,2018-07-14,2022-02-01,2022-10-03,5335344,622,False,12,10,0,0
КФХ Гармония,123456789192,Новая Ляля,1998-11-25,2008-05-03,2011-01-17,8374200,1497,False,47,17,0,5
ОАО Ваниль,123456789193,Новая Ляля,2015-09-10,2018-05-05,2020-02-20,9927645,1957,False,87,76,0,0
НКО Цветик-Семицветик,123456789194,Свиногорье,2022-05-11,2023-02-23,2023-03-27,6967950,1480,False,82,41,0,2
КФХ Ты и Я,123456789195,Свиногорье,2018-05-07,2023-02-09,2023-02-17,2283551,1515,False,78,42,0,0
ООО Алые паруса,123456789196,Новая Ляля,2004-11-07,2015-08-06,2018-09-05,3638493,191,False,67,39,0,1
ОАО Зазеркалье,123456789197,Новая Ляля,2006-07-09,2014-04-02,2018-07-07,482282,1369,False,31,29,5,0
КФХ Кандидат,123456789198,Свиногорье,2015-12-16,2017-02-05,2021-08-12,7001574,1375,False,101,19,1,1
НКО Крылья амура,123456789199,Мымрино,2019-08-31,2023-02-12,2023-03-09,9418450,146,False,3,0,0,2
ОАО Тыква,123456789200,Новая Ляля,2015-12-15,2022-10-19,2023-01-22,8336918,1965,False,27,3,0,0
ООО Солнечный день,123456789201,Козельск,2003-05-27,2007-12-30,2018-05-03,4064616,1054,False,19,1,0,0
НКО Попрыгушки,123456789202,Мымрино,2009-08-30,2021-01-23,2022-09-27,6983370,1950,False,19,7,5,0
ОАО Мармелад,123456789203,Колпино,2000-09-14,2004-02-27,2023-01-01,928039,1637,False,2,0,0,0
НКО Грусти нет,123456789204,Козельск,2022-08-22,2023-01-29,2023-02-14,6099688,1557,False,59,6,0,0
КФХ Утро марта,123456789205,Барнаул,2011-05-11,2017-01-17,2020-02-28,6490814,917,False,104,98,0,0
НКО Карамболь,123456789206,Нижние Серги,2010-10-29,2015-04-08,2018-01-15,5690981,1232,False,10,5,0,0
КФХ Каприз,123456789207,Колпино,2023-01-30,2023-03-21,2023-03-23,2162564,257,False,43,17,0,0
ООО Элит-шоу,123456789208,Новая Ляля,2003-05-03,2018-09-02,2018-09-07,6702339,1993,False,74,39,0,0
НКО Зайка,123456789209,Новая Ляля,2015-11-03,2021-05-31,2022-08-22,4497380,973,False,107,29,0,0
ОАО Фантастик,123456789210,Новая Ляля,2000-08-25,2009-08-31,2020-07-31,1746957,1151,False,51,41,0,0
НКО Комарик,123456789211,Урюпинск,2000-04-26,2008-05-21,2019-11-15,6329598,727,False,82,33,0,0
КФХ Давай поженимся,123456789212,Урюпинск,2007-01-09,2015-09-11,2022-05-24,4976494,1536,False,83,73,0,0
ЗАО Эврика,123456789213,Нижние Серги,2007-11-17,2019-09-26,2022-09-30,6348163,1025,False,32,22,0,0
КФХ Заводной апельсин,123456789214,Новая Ляля,1999-04-28,2018-07-29,2021-01-11,486930,222,False,70,52,0,5
НКО Крианта,123456789215,Свиногорье,2001-04-21,2006-05-21,2016-02-28,5013815,182,False,48,2,0,0
НКО Ежевика,123456789216,Мымрино,2015-09-07,2022-09-18,2023-03-14,8867158,1467,False,106,48,0,1
ОАО Оскар,123456789217,Барнаул,2006-10-12,2022-06-15,2023-02-02,2312085,435,False,89,88,0,0
ЗАО Росток,123456789218,Урюпинск,2014-04-19,2019-02-09,2020-01-13,7832746,521,False,110,61,0,0
ООО Крепыш,123456789219,Нижние Серги,2020-10-09,2022-04-10,2022-10-10,2934339,586,False,94,28,0,0
ООО Формула настроения,123456789220,Мытищи,2005-09-24,2012-09-05,2020-12-14,5074330,706,False,50,11,0,0
КФХ Калейдоскоп,123456789221,Урюпинск,1997-12-23,2016-04-06,2020-02-10,2136896,236,False,86,46,0,2
ЗАО Чародеи,123456789222,Урюпинск,2012-03-07,2012-04-13,2019-12-19,1844163,991,False,56,52,0,0
ЗАО Академия чудес,123456789223,Мытищи,2011-04-28,2016-03-23,2021-06-18,6170445,357,False,13,9,0,0
ООО Елочка,123456789224,Свиногорье,2016-07-29,2022-06-24,2022-09-17,5630092,221,False,71,31,0,0
КФХ Веселый ананас,123456789225,Барнаул,2013-09-22,2014-07-06,2020-03-21,7894823,148,False,7,6,0,0
КФХ Любимые дети,123456789226,Урюпинск,2020-10-08,2021-04-12,2021-05-25,5412412,863,False,54,13,0,0
ЗАО Фабрика развлечений,123456789227,Мытищи,1998-04-01,2006-11-13,2015-02-19,9753620,165,False,6,3,0,0
ОАО Империя праздника,123456789228,Нижние Серги,2017-05-11,2019-07-27,2022-09-21,3522336,1582,False,16,0,0,0
ОАО Прожектор,123456789229,Урюпинск,2017-01-23,2018-01-27,2023-01-05,7212189,104,False,96,26,0,1
КФХ Идея,123456789230,Пыталово,2021-07-02,2021-11-20,2022-05-06,6107360,1901,False,17,8,0,0
ОАО Браво бис,123456789231,Свиногорье,2009-09-17,2009-12-09,2013-11-24,6826759,624,False,24,7,0,0
КФХ Волшебная страна,123456789232,Урюпинск,1997-08-23,2003-03-14,2023-03-16,8759088,616,False,97,22,5,0
ООО Шарман,123456789233,Нижние Серги,2007-01-30,2012-08-30,2022-11-27,6047153,1200,False,76,59,0,0
ЗАО Колобок,123456789234,Урюпинск,2002-09-10,2020-07-30,2021-12-05,6282661,1043,False,44,32,0,0
ЗАО Баклажанчик,123456789235,Свиногорье,2003-03-23,2022-01-09,2022-10-09,6344614,310,False,4,2,0,0
ООО Комильфо,123456789236,Барнаул,2011-09-30,2013-07-03,2022-05-12,3064183,1238,False,19,10,0,0
НКО Вишня,123456789237,Колпино,2008-11-04,2019-07-24,2020-05-14,1001740,147,False,92,46,2,0
ЗАО Клюква,123456789238,Новая Ляля,2007-06-09,2014-12-08,2018-09-20,2953256,1737,False,28,17,0,0
НКО Арт-Пикник,123456789239,Козельск,2009-09-12,2009-11-11,2011-03-04,6739171,117,False,6,5,0,0
КФХ Шумгам,123456789240,Мымрино,2021-03-18,2023-01-21,2023-03-09,4894404,1506,False,37,33,0,0
ООО Бонжур,123456789241,Новая Ляля,2021-06-30,2022-07-05,2022-10-22,2889253,1708,False,42,35,2,0
ООО Тополек,123456789242,Пыталово,2017-03-12,2020-06-07,2023-01-17,9411463,819,False,106,29,0,5
ООО Оранжевая зебра,123456789243,Свиногорье,2020-10-25,2022-02-08,2022-12-03,3113997,729,False,75,13,0,0
ООО Праздник от души,123456789244,Мымрино,2014-02-01,2022-10-11,2022-12-11,3287592,962,True,102,97,0,0
НКО Модный праздник,123456789245,Мытищи,2008-01-31,2022-12-27,2023-01-18,8319777,609,False,96,57,1,0
