inn,in_ban,staff100,staff1000,terminated_contracts2,reg_date1Y,bidding_num50
123456789154,0,1,1,0,0,1
123456789155,0,1,1,0,1,0
123456789156,0,1,0,0,0,1
123456789157,0,1,0,0,0,1
123456789158,0,1,1,0,1,0
123456789159,0,1,1,0,0,1
123456789160,0,1,0,0,0,0
123456789161,0,1,1,1,1,1
123456789162,0,1,1,0,0,1
123456789163,0,1,0,0,0,0
123456789163,0,1,0,0,0,0
123456789164,0,1,1,0,0,0
123456789165,0,1,1,0,0,1
123456789166,0,1,0,0,0,0
123456789167,0,1,1,0,0,0
123456789168,0,1,1,0,0,1
123456789169,0,1,0,0,0,1
123456789170,0,1,1,0,0,1
123456789171,0,1,1,0,0,1
123456789172,0,1,0,1,0,1
123456789173,0,1,1,0,0,1
123456789174,0,1,0,0,0,1
123456789175,0,1,0,0,0,1
123456789176,0,1,1,0,0,0
123456789177,0,1,0,0,0,1
123456789178,0,1,1,0,1,0
123456789179,1,1,0,0,0,1
123456789179,1,1,0,0,0,1
123456789180,0,1,1,0,0,0
123456789181,0,1,1,0,0,0
123456789182,0,1,0,0,0,1
123456789183,0,1,1,0,0,1
123456789184,0,1,0,0,0,0
123456789185,0,1,1,0,0,1
123456789186,0,1,0,0,0,1
123456789187,0,1,0,0,0,1
123456789188,0,1,0,0,0,1
123456789189,0,1,1,0,0,0
123456789190,0,1,1,0,0,0
123456789191,0,1,0,0,0,0
123456789192,0,1,1,1,1,0
123456789193,1,1,0,0,0,0
123456789194,0,1,1,0,0,0
123456789195,0,1,1,0,0,0
123456789196,0,1,0,0,0,0
123456789197,0,0,0,0,0,1
123456789198,1,1,0,0,0,1
123456789199,0,1,1,0,0,1
123456789200,0,1,1,0,0,1
123456789201,0,1,1,0,0,0
123456789202,0,1,1,0,0,0
123456789203,0,0,0,1,0,0
123456789204,0,1,0,0,0,0
123456789205,0,1,1,0,0,1
123456789206,0,1,1,0,0,0
123456789207,0,1,0,0,0,1
123456789208,0,1,1,0,0,0
123456789209,0,1,0,0,1,1
123456789210,0,1,0,0,0,0
123456789211,0,1,1,0,0,1
123456789212,0,1,1,0,0,0
123456789213,0,1,0,0,1,0
123456789214,0,1,0,0,1,1
123456789215,0,1,0,0,1,1
123456789216,0,1,1,0,0,1
123456789217,0,1,1,0,0,1
123456789218,0,1,1,0,0,1
123456789219,0,1,0,0,0,1
123456789220,0,1,1,0,0,0
123456789221,0,1,1,0,0,0
123456789222,0,1,1,0,0,0
123456789223,0,1,1,0,0,0
123456789224,0,1,0,0,0,1
123456789225,0,1,1,0,0,1
123456789226,0,1,1,0,0,1
123456789227,1,1,0,0,0,0
123456789228,0,1,0,0,1,1
123456789229,0,1,1,0,1,1
123456789230,1,1,0,0,0,0
123456789231,0,1,0,0,0,1
123456789232,0,1,1,0,0,0
123456789233,0,1,1,0,0,0
123456789234,0,1,0,0,0,0
123456789235,0,1,0,0,0,1
123456789236,0,1,0,0,0,0
123456789237,0,1,1,0,0,0
123456789238,0,1,1,0,0,1
123456789239,0,1,1,0,0,0
123456789240,0,1,1,0,0,0
123456789241,0,1,1,0,1,0
123456789242,0,0,0,0,1,1
123456789243,0,1,1,0,1,0
123456789244,0,1,0,0,0,1
123456789245,0,1,1,0,0,1
123456789246,0,1,0,1,0,0
123456789247,0,1,0,0,1,0
123456789248,0,1,1,0,0,0
123456789249,0,1,1,0,0,0
123456789250,0,1,1,0,0,0
123456789251,0,1,1,0,0,0
123456789252,0,1,0,1,1,1
123456789253,0,1,0,1,0,1
123456789254,0,1,1,0,0,0
123456789255,0,0,0,0,0,0
123456789256,1,1,0,0,0,1
123456789257,0,1,1,0,0,1
123456789257,0,1,1,0,0,1
123456789258,0,1,0,0,1,1
123456789259,0,1,1,0,0,1
123456789259,0,1,1,0,0,1
123456789260,0,1,1,0,0,1
123456789261,0,1,0,0,0,1
123456789262,0,1,1,0,0,1
123456789263,0,1,1,0,1,1
123456789264,0,1,1,0,0,0
123456789265,0,1,0,0,0,1
123456789266,0,1,0,0,1,1
123456789267,0,1,1,0,0,0
123456789268,0,1,1,0,0,1
123456789269,0,1,1,0,0,0
123456789270,0,1,0,0,0,1
123456789271,0,1,0,0,1,1
123456789271,0,1,0,0,1,1
123456789272,0,1,0,0,1,0
123456789273,0,1,1,0,1,1
123456789274,0,1,0,0,0,0
123456789275,1,1,0,0,0,0
123456789276,0,1,1,0,0,0
123456789276,0,1,1,0,0,0
123456789277,0,1,0,0,0,0
123456789278,0,0,0,0,0,0
123456789279,0,1,1,0,0,1
123456789280,0,1,1,0,0,1
123456789281,0,1,1,0,1,1
123456789282,0,1,1,0,0,0
123456789283,0,1,1,0,0,0
123456789284,0,1,0,1,0,0
123456789285,0,0,0,0,0,1
123456789286,0,1,0,0,0,1
123456789287,0,1,1,0,0,1
123456789288,0,1,1,0,0,0
123456789289,0,1,0,0,0,1
123456789290,0,1,1,0,0,1
123456789291,0,1,0,0,0,1
123456789292,0,1,0,0,1,0
123456789293,0,1,0,1,1,0
123456789294,0,1,1,0,0,0
123456789295,0,1,1,1,0,0
123456789296,0,1,0,0,0,1
123456789297,0,1,1,0,1,1
123456789298,0,1,0,0,0,1
123456789299,0,0,0,0,1,1
123456789300,1,1,1,0,0,1
123456789301,0,1,0,0,0,1
123456789302,0,1,0,0,0,1
123456789303,0,1,0,0,0,0
123456789303,0,1,0,0,0,0
123456789304,0,1,1,0,0,1
123456789305,0,1,0,0,0,1
123456789306,0,1,0,1,0,1
123456789307,0,1,1,0,0,0
123456789308,0,1,0,0,0,0
123456789309,0,1,0,0,0,0
123456789310,0,1,1,0,0,0
123456789311,0,1,0,0,0,1
123456789311,0,1,0,0,0,1
123456789312,0,1,0,0,0,1
123456789313,0,1,0,0,0,1
123456789314,0,1,0,0,0,1
123456789315,0,1,0,0,0,0
123456789316,0,1,1,0,0,0
123456789317,0,1,1,0,0,0
123456789318,1,1,0,0,0,0
123456789318,1,1,0,0,0,0
123456789319,1,1,1,0,0,1
123456789320,0,1,1,0,0,0
123456789321,0,1,0,0,0,0
123456789322,0,1,0,0,1,0
123456789323,0,1,0,0,0,0
123456789324,0,1,0,1,0,0
123456789325,0,1,1,0,1,1
123456789326,0,1,0,0,0,1
123456789327,0,1,1,0,1,1
123456789328,0,1,0,0,0,1
123456789329,0,1,1,0,0,0
123456789330,0,1,0,0,0,1
123456789331,0,1,1,0,0,1
123456789332,0,1,1,0,0,0
123456789333,0,1,0,0,0,0
123456789334,0,1,1,0,0,1
123456789335,0,1,1,0,1,1
123456789336,0,1,0,0,0,1
123456789337,1,1,1,0,1,1
123456789338,0,1,0,0,0,1
123456789339,0,1,1,0,0,1
123456789340,0,1,1,0,0,1
123456789341,0,1,1,0,0,1
123456789342,0,1,1,0,0,0
123456789343,0,1,0,0,0,1
123456789344,0,1,1,0,0,1
123456789345,0,1,1,0,0,0
123456789346,0,1,0,0,0,1
123456789347,0,1,1,0,0,0
123456789348,0,1,1,0,0,0
123456789349,0,1,1,0,1,0
123456789350,1,1,1,0,0,0
123456789351,0,1,0,0,0,1
123456789352,0,1,1,0,0,1
123456789353,0,1,1,0,0,0
123456789354,0,1,0,0,0,1
123456789355,0,1,0,0,0,1
123456789356,0,1,1,0,0,0
123456789357,0,1,0,0,0,0
123456789358,0,1,1,0,0,1
123456789359,0,1,0,0,0,1
123456789360,0,1,1,0,0,0
123456789361,0,1,0,0,0,1
123456789362,0,1,0,0,0,1
123456789363,0,1,0,0,0,0
123456789364,0,1,1,0,0,0
123456789365,0,1,0,0,0,1
123456789366,0,1,1,0,1,1
123456789367,0,1,0,0,0,1
123456789368,0,1,0,0,0,1
123456789369,0,0,0,1,0,1
123456789370,0,1,0,0,0,1
123456789371,0,1,0,0,0,1
123456789372,0,1,1,1,0,0
123456789373,0,1,1,0,1,0
123456789374,0,0,0,0,0,1
123456789375,0,1,0,0,0,1
123456789376,0,0,0,0,0,1
123456789377,0,1,1,0,0,1
123456789378,0,1,1,0,0,0
123456789379,0,1,1,0,1,1
123456789380,0,1,0,0,0,1
123456789381,0,1,0,1,0,1
123456789382,0,1,1,0,0,1
123456789383,0,1,1,0,1,0
123456789384,0,1,0,0,0,1
123456789385,0,1,1,0,0,1
123456789386,0,1,1,0,0,0
123456789387,0,1,0,0,0,0
123456789388,0,1,1,0,1,0
123456789389,0,1,0,0,0,0
123456789390,0,1,1,0,0,1
123456789391,0,0,0,0,0,0
123456789392,0,1,0,0,0,0
123456789393,0,0,0,0,0,0
123456789394,0,1,0,0,1,1
123456789395,0,1,0,0,0,0
123456789396,0,1,0,0,0,1
123456789397,0,1,0,0,0,0
123456789398,0,1,1,0,0,0
123456789399,0,1,1,0,0,1
123456789400,0,1,0,0,0,0
123456789401,0,1,0,0,0,1
123456789402,0,1,1,0,0,1
123456789403,1,1,0,0,0,0
123456789404,0,1,1,0,0,0
123456789405,0,1,0,0,0,0
123456789406,0,1,1,0,0,1
123456789407,0,1,1,0,0,1
123456789408,0,1,1,0,1,0
123456789409,0,1,1,0,0,0
123456789410,0,1,1,0,0,0
123456789411,0,1,1,0,0,1
123456789412,0,1,0,1,1,0
123456789413,0,1,0,0,1,1
123456789414,0,1,1,0,0,1
123456789415,0,1,1,0,0,1
123456789415,0,1,1,0,0,1
123456789416,1,1,0,0,0,1
123456789417,0,1,0,0,0,0
123456789418,0,1,0,0,0,0
123456789419,0,1,1,0,0,1
123456789420,0,1,1,0,1,1
123456789421,0,1,0,0,0,0
123456789422,1,1,0,0,1,1
123456789423,0,1,0,0,0,0
123456789424,0,1,1,0,0,0
123456789425,0,1,0,0,0,0
123456789426,0,1,0,0,1,1
123456789427,0,1,1,0,0,0
123456789428,0,1,1,0,0,1
123456789429,0,1,0,0,1,0
123456789430,0,1,0,0,0,1
123456789431,0,1,0,0,0,1
123456789432,0,1,1,0,0,1
123456789433,0,1,0,0,0,1
123456789434,0,1,0,0,0,0
123456789435,0,1,0,0,0,1
123456789436,0,1,1,0,0,0
123456789437,0,1,0,0,0,1
123456789438,0,0,0,0,0,0
123456789439,0,1,0,0,0,0
123456789440,0,1,0,0,0,1
123456789441,0,1,0,0,0,0
123456789442,0,1,1,0,0,0
123456789443,0,1,1,0,0,1
123456789444,0,1,1,0,0,0
123456789445,0,1,0,0,0,1
123456789446,0,1,0,0,1,1
123456789447,0,1,1,0,0,1
123456789448,0,1,1,0,0,1
123456789449,0,1,1,0,0,0
123456789450,0,1,1,0,0,0
123456789451,0,1,1,1,1,1
123456789451,0,1,1,1,1,1
123456789452,0,1,1,0,0,0
123456789453,0,1,1,0,1,0
123456789454,0,1,1,0,0,0
123456789455,0,1,1,0,0,0
123456789456,0,0,0,0,0,1
123456789457,1,1,1,0,0,0
123456789458,0,1,1,0,0,1
123456789459,0,1,1,0,0,1
123456789460,0,1,1,0,0,1
123456789461,0,1,1,0,0,0
123456789462,0,1,0,0,0,0
123456789463,0,1,0,0,0,1
123456789464,0,1,0,0,0,1
123456789465,0,1,1,0,0,1
123456789466,0,1,0,0,0,0
123456789467,0,1,0,0,0,1
123456789468,0,1,0,0,1,1
123456789469,0,1,1,0,0,0
123456789470,0,1,1,0,1,0
123456789471,0,1,0,0,0,1
123456789472,0,1,0,0,0,1
123456789473,0,1,1,0,0,1
123456789474,0,1,1,0,0,1
123456789475,0,1,1,1,0,1
123456789476,0,1,1,0,0,0
123456789477,0,1,1,0,0,1
123456789478,0,1,0,0,0,1
123456789479,0,1,1,1,0,0
123456789480,0,1,0,0,0,1
123456789481,0,1,1,0,0,0
123456789482,0,1,0,0,0,0
123456789483,0,1,1,0,0,1
123456789484,0,1,1,0,0,0
123456789485,0,1,0,0,0,0
123456789486,0,1,1,0,0,0
123456789487,1,1,1,0,0,0
123456789488,0,1,0,0,0,1
123456789489,0,1,0,0,0,1
123456789490,0,1,1,0,0,1
123456789491,0,1,1,0,0,1
123456789492,0,1,1,0,1,1
123456789493,0,1,0,0,0,0
123456789494,0,1,1,0,0,1
123456789495,0,1,1,0,0,0
123456789496,0,1,0,0,0,1
123456789497,0,1,1,0,0,1
123456789497,0,1,1,0,0,1
123456789498,1,1,1,0,0,0
123456789499,0,1,1,0,0,0
123456789500,0,1,1,0,0,0
123456789501,0,1,0,0,0,0
123456789502,0,1,0,0,0,0
123456789503,0,1,1,0,0,0
123456789504,0,1,0,0,0,0
123456789505,0,1,0,0,0,1
123456789506,0,1,1,0,1,0
123456789507,0,1,0,0,0,0
123456789508,0,1,1,0,0,1
123456789509,0,1,0,0,0,1
123456789510,0,1,1,0,1,1
123456789511,0,1,0,0,0,1
123456789512,0,1,1,1,0,0
123456789513,0,1,1,0,0,0
123456789514,0,1,1,0,0,0
123456789515,0,1,0,0,0,0
123456789516,0,1,0,0,0,1
123456789517,0,1,1,0,0,0
123456789518,0,1,1,0,0,1
123456789519,0,1,0,0,1,1
123456789520,0,1,1,0,0,0
123456789521,0,1,0,0,1,0
123456789522,0,1,0,0,0,0
123456789523,0,1,0,0,0,0
123456789524,0,1,0,1,0,1
123456789525,0,1,1,0,1,1
123456789526,0,1,0,0,0,1
123456789527,0,1,1,0,0,0
123456789528,0,1,0,0,0,1
123456789529,0,0,0,0,0,1
123456789530,0,1,0,0,0,1
123456789531,0,1,0,0,0,0
123456789532,0,1,1,0,0,1
123456789533,0,1,0,1,0,1
123456789534,0,1,0,0,0,1
123456789535,0,1,1,0,0,0
123456789536,0,1,1,0,0,1
123456789537,0,1,1,1,0,1
123456789538,0,1,0,0,0,1
123456789539,0,1,1,0,0,1
123456789540,0,1,0,0,1,0
123456789541,0,1,1,0,0,1
123456789542,0,1,1,0,0,0
123456789543,0,1,0,0,0,1
123456789544,0,1,1,0,0,0
123456789545,0,1,1,0,0,0
123456789546,0,1,0,0,0,1
123456789546,0,1,0,0,0,1
123456789547,0,1,1,0,0,1
123456789548,0,1,0,0,0,1
123456789549,0,1,0,0,1,1
123456789549,0,1,0,0,1,1
123456789550,0,1,0,1,0,1
123456789551,0,1,0,0,1,0
123456789552,0,1,1,0,0,1
123456789553,0,1,1,0,0,1
123456789554,0,0,0,0,0,0
123456789555,0,1,1,0,0,0
123456789556,0,1,0,0,0,0
123456789557,0,1,0,0,0,1
123456789558,0,1,1,1,0,0
123456789559,0,1,0,0,0,1
123456789560,0,1,1,1,0,0
123456789561,0,1,0,0,0,0
123456789562,0,1,1,0,0,1
123456789563,1,1,0,0,0,0
123456789563,1,1,0,0,0,0
123456789564,0,1,1,0,1,0
123456789565,0,1,1,0,0,1
123456789566,0,1,0,0,0,0
123456789567,0,1,1,0,0,1
123456789567,0,1,1,0,0,1
123456789568,0,1,1,0,0,1
123456789569,0,1,1,0,0,1
123456789570,1,0,0,0,0,0
123456789571,0,1,0,0,0,1
123456789572,0,1,0,0,0,1
123456789573,0,1,1,0,1,1
123456789574,0,1,0,0,1,0
123456789575,0,1,0,0,0,1
123456789576,0,1,0,0,0,1
123456789576,0,1,0,0,0,1
123456789577,0,1,0,1,0,0
123456789578,0,1,1,0,0,1
123456789579,0,1,0,0,0,1
123456789580,0,1,1,0,0,0
123456789581,0,1,1,0,0,0
123456789582,0,1,0,1,0,0
123456789583,0,1,0,0,0,0
123456789584,0,1,1,0,0,0
123456789585,0,1,0,0,0,1
123456789586,0,1,1,0,0,1
123456789587,0,1,0,1,0,1
123456789588,0,1,1,0,0,1
123456789589,0,1,1,1,0,1
123456789590,0,1,1,0,0,0
123456789591,0,1,1,0,0,1
123456789592,0,1,0,0,0,0
123456789593,0,1,0,0,0,0
123456789594,0,1,0,0,0,0
123456789595,0,1,1,0,0,0
123456789596,0,1,0,0,1,0
123456789597,0,1,1,0,0,1
123456789598,0,1,0,0,1,1
123456789599,0,1,0,0,0,1
123456789600,0,1,1,0,0,1
123456789601,0,0,0,0,0,0
123456789602,0,1,0,0,0,1
123456789603,0,1,1,0,0,1
123456789604,0,1,1,0,0,1
123456789605,0,1,0,0,0,1
123456789606,0,1,1,0,0,0
123456789607,0,1,0,0,0,1
123456789608,0,1,1,0,0,1
123456789609,0,1,0,0,0,0
123456789610,0,1,1,0,0,1
123456789611,0,1,0,0,0,1
123456789612,0,1,1,0,1,1
123456789613,1,1,0,0,0,1
123456789614,0,1,0,0,0,1
123456789615,0,1,1,0,1,1
123456789616,0,1,1,0,1,0
123456789617,0,1,1,0,1,0
123456789618,0,1,1,0,0,0
123456789619,0,1,0,0,0,0
123456789620,0,1,0,0,0,1
123456789621,0,1,1,0,0,1
123456789622,0,1,1,0,0,1
123456789623,0,1,0,0,0,0
123456789624,0,1,1,0,0,1
123456789625,0,1,1,0,0,0
123456789626,0,1,0,0,0,0
123456789627,0,1,1,0,0,0
123456789628,0,1,1,0,0,1
123456789629,0,1,1,0,1,0
123456789630,0,1,1,0,0,1
123456789631,0,1,0,0,0,1
123456789632,0,1,1,1,1,0
123456789633,0,1,0,0,0,1
123456789634,0,1,0,0,0,1
123456789635,1,1,1,0,1,0
123456789636,0,1,1,0,0,0
123456789637,0,1,0,0,0,1
123456789638,0,1,1,0,1,1
123456789639,0,1,0,0,0,1
123456789640,0,1,1,1,1,0
123456789641,0,1,1,0,0,1
123456789642,0,1,0,0,0,0
123456789643,0,1,1,0,0,1
123456789644,0,1,0,0,1,1
123456789645,0,1,1,0,0,1
123456789646,0,1,0,1,0,1
123456789647,0,1,1,0,0,0
123456789648,0,1,0,0,0,0
123456789649,0,1,0,0,0,0
123456789650,0,1,1,0,1,0
123456789651,0,1,1,1,0,0
123456789652,0,0,0,0,0,0
123456789653,0,1,1,0,0,1
123456789654,0,1,0,0,0,0
123456789655,0,1,0,0,0,1
123456789656,0,1,0,0,1,0
123456789657,0,1,0,0,0,1
123456789658,0,1,1,0,0,1
123456789659,0,1,0,0,0,1
123456789660,0,1,0,0,0,1
123456789661,0,1,1,0,0,1
123456789662,0,1,0,0,0,0
123456789663,0,1,0,0,0,1
123456789664,0,1,0,0,0,1
123456789665,0,1,1,0,0,0
123456789666,0,1,1,0,0,1
123456789667,0,1,0,0,0,1
123456789668,0,1,0,0,0,0
123456789669,0,1,0,0,0,0
123456789670,0,1,0,0,0,1
123456789671,0,1,0,0,1,0
123456789672,0,1,1,1,0,0
123456789673,0,1,1,0,0,0
123456789674,0,0,0,0,1,0
123456789675,0,1,1,0,0,1
123456789676,0,1,1,0,0,0
123456789677,0,1,0,0,0,0
123456789678,0,1,1,0,0,0
123456789679,0,1,0,0,0,0
123456789680,0,1,0,0,0,0
123456789681,0,1,1,0,0,1
123456789681,0,1,1,0,0,1
123456789682,0,1,0,0,1,0
123456789683,0,0,0,0,0,1
123456789684,0,1,0,0,1,1
123456789685,0,1,0,0,0,1
123456789685,0,1,0,0,0,1
123456789686,0,1,0,0,0,0
123456789687,0,1,0,0,0,1
123456789688,0,1,0,0,0,1
123456789689,0,1,1,0,0,1
123456789690,0,1,1,0,1,1
123456789691,1,0,0,0,0,0
123456789692,0,1,0,0,0,1
123456789693,0,1,1,0,0,1
123456789694,0,1,1,0,0,1
123456789695,0,0,0,0,0,0
123456789696,0,1,1,0,0,0
123456789697,0,1,0,0,1,0
123456789698,0,1,0,0,0,0
123456789699,1,1,1,0,0,0
123456789700,0,1,0,0,0,0
123456789701,0,0,0,0,0,1
123456789702,0,1,1,0,1,1
123456789703,0,1,0,0,0,1
123456789704,0,1,0,0,0,0
123456789705,0,1,1,0,0,1
123456789706,0,1,1,0,0,0
123456789707,0,1,0,0,0,1
123456789708,0,1,0,0,1,0
123456789709,0,1,1,0,0,0
123456789710,0,1,1,0,0,1
123456789711,0,1,1,0,0,0
123456789712,0,1,1,1,0,1
123456789713,1,1,0,0,0,1
123456789714,0,1,0,0,0,0
123456789715,0,1,0,0,0,1
123456789716,0,1,1,0,1,0
123456789717,0,1,0,0,0,1
123456789718,0,1,1,0,0,0
123456789719,0,0,0,0,0,1
123456789720,0,0,0,0,1,0
123456789721,1,1,1,0,1,0
123456789722,0,1,0,0,1,0
123456789723,0,1,1,0,0,1
123456789724,0,1,1,1,1,1
123456789725,0,1,1,0,1,1
123456789726,0,1,1,0,0,0
123456789727,0,1,1,0,0,0
123456789728,0,1,0,0,0,1
123456789729,0,1,1,0,0,1
123456789730,0,1,0,0,1,1
123456789731,0,1,1,0,0,0
123456789732,0,1,1,1,0,1
123456789733,0,1,1,0,0,1
123456789734,0,1,0,0,0,1
123456789735,0,1,0,0,0,0
123456789736,0,1,1,0,0,0
123456789737,0,1,1,0,0,0
123456789738,0,1,0,0,0,1
123456789739,0,1,1,0,0,1
123456789740,0,1,1,0,0,1
123456789741,0,1,0,0,0,1
123456789741,0,1,0,0,0,1
123456789742,0,1,1,0,0,1
123456789743,0,1,0,0,0,0
123456789744,0,1,0,0,0,1
123456789745,0,1,0,0,0,0
123456789746,0,1,1,0,0,1
123456789747,0,1,0,0,0,1
123456789748,1,1,0,1,0,0
123456789749,0,1,1,0,0,0
123456789750,0,1,0,0,0,1
123456789751,0,1,1,0,0,1
123456789752,0,1,1,1,0,0
123456789753,0,1,0,0,1,1
123456789754,0,1,1,0,0,1
123456789755,0,1,0,0,1,1
123456789756,0,1,1,0,0,1
123456789757,0,1,1,0,0,1
123456789758,0,1,0,1,0,1
123456789759,0,1,0,0,0,1
123456789760,0,1,0,1,0,1
123456789761,0,1,1,0,0,0
123456789762,0,1,0,0,0,0
123456789763,0,1,1,0,0,0
123456789764,0,1,0,0,0,0
123456789765,0,1,1,0,0,1
123456789766,1,1,0,0,0,1
123456789767,0,1,1,0,0,1
123456789768,0,1,1,0,0,0
123456789769,0,1,1,0,0,0
123456789770,0,1,0,0,0,0
123456789771,1,1,0,0,0,1
123456789772,0,1,1,0,0,0
123456789773,0,1,0,0,0,0
123456789774,0,1,1,0,0,1
123456789775,0,1,1,0,1,0
123456789776,0,1,0,0,0,0
123456789777,0,0,0,0,0,1
123456789778,0,1,0,1,0,0
123456789779,0,1,0,0,1,1
123456789780,0,1,1,0,0,0
123456789781,0,1,1,0,1,1
123456789782,0,1,1,0,0,1
123456789783,0,1,1,0,1,1
123456789784,0,1,1,0,0,0
123456789785,0,1,0,0,0,0
123456789786,0,1,1,0,0,0
123456789787,0,1,0,0,0,0
123456789788,0,1,1,0,1,0
123456789789,0,1,1,0,0,0
123456789790,0,0,0,0,0,1
123456789791,0,1,1,0,0,1
123456789792,0,1,1,0,0,1
123456789793,0,1,1,0,0,1
123456789794,0,1,1,0,0,0
123456789795,0,1,1,0,0,1
123456789796,0,1,0,0,0,0
123456789797,1,1,0,0,0,0
123456789798,1,1,0,0,0,0
123456789798,1,1,0,0,0,0
123456789798,1,1,0,0,0,0
123456789799,0,1,0,0,0,1
123456789800,0,1,1,0,0,0
123456789801,0,1,1,0,0,1
123456789802,1,1,1,0,0,1
